Date,S&P 500,Dow Jones Industrial Average,NASDAQ Composite,Russell 2000,VIX
1999-01-04,1228.0999755859375,9184.26953125,2208.050048828125,421.260009765625,26.170000076293945
1999-01-05,1244.780029296875,9311.1904296875,2251.27001953125,422.0899963378906,24.459999084472656
1999-01-06,1272.3399658203125,9544.9697265625,2320.860107421875,427.7900085449219,23.34000015258789
1999-01-07,1269.72998046875,9537.759765625,2326.090087890625,427.8299865722656,24.3700008392334
1999-01-08,1275.0899658203125,9643.3203125,2344.409912109375,431.2300109863281,23.280000686645508
1999-01-11,1263.8800048828125,9619.8896484375,2384.590087890625,433.1300048828125,25.459999084472656
1999-01-12,1239.510009765625,9474.6796875,2320.75,427.3599853515625,28.100000381469727
1999-01-13,1234.4000244140625,9349.5595703125,2316.81005859375,424.8599853515625,30.110000610351562
1999-01-14,1212.18994140625,9120.9296875,2276.820068359375,420.1000061035156,32.97999954223633
1999-01-15,1243.260009765625,9340.5498046875,2348.199951171875,427.04998779296875,29.239999771118164
1999-01-19,1252.0,9355.2197265625,2408.169921875,430.8900146484375,29.239999771118164
1999-01-20,1256.6199951171875,9335.91015625,2415.489990234375,430.6199951171875,28.600000381469727
1999-01-21,1235.1600341796875,9264.080078125,2344.719970703125,424.04998779296875,30.920000076293945
1999-01-22,1225.18994140625,9120.669921875,2338.8798828125,422.44000244140625,31.950000762939453
1999-01-25,1233.97998046875,9203.3203125,2369.31005859375,422.1099853515625,31.1299991607666
1999-01-26,1252.31005859375,9324.580078125,2433.409912109375,425.3299865722656,29.229999542236328
1999-01-27,1243.1700439453125,9200.23046875,2407.139892578125,421.1199951171875,29.729999542236328
1999-01-28,1265.3699951171875,9281.330078125,2477.340087890625,423.9700012207031,28.110000610351562
1999-01-29,1279.6400146484375,9358.830078125,2505.889892578125,427.2200012207031,26.25
1999-02-01,1273.0,9345.7001953125,2510.090087890625,426.0799865722656,27.670000076293945
1999-02-02,1261.989990234375,9274.1201171875,2463.419921875,421.7300109863281,28.15999984741211
1999-02-03,1272.0699462890625,9366.8095703125,2493.409912109375,423.739990234375,27.8799991607666
