Date,SPY_MA20,SPY_MA50,SPY_MA200,SPY_RSI,SPY_Upper_BB,SPY_Lower_BB,QQQ_MA20,QQQ_MA50,QQQ_MA200,QQQ_RSI,QQQ_Upper_BB,QQQ_Lower_BB,DIA_MA20,DIA_MA50,DIA_MA200,DIA_RSI,DIA_Upper_BB,DIA_Lower_BB
2021-06-09,417.20549926757815,414.58399780273436,376.53645065307614,77.99683580888792,426.4470410454336,407.9639574897227,329.80950317382815,332.35240295410154,309.10165115356443,74.1117348898886,341.93274073494547,317.6862656127108,343.64949798583984,340.83519775390624,308.98449935913084,69.37009005027346,349.433220242817,337.8657757288627
2021-06-10,418.1154983520508,415.1615972900391,376.9399005126953,74.7768371787354,425.94258636736805,410.28841033673353,330.98250274658204,332.8730029296875,309.385251159668,71.47658948882385,342.35922580520673,319.60577968795735,344.09849853515624,341.11839782714844,309.2934994506836,64.51353579420062,348.64342677814636,339.5535702921661
2021-06-11,418.81699829101564,415.7211975097656,377.34085052490235,77.28587983534413,426.1888570279263,411.44513955410497,332.07750244140624,333.31520263671877,309.662151184082,77.48166466673425,342.9400822292793,321.21492265353316,344.3319976806641,341.41719787597657,309.6059994506836,63.344889869122895,348.5562219631788,340.10777339814933
2021-06-14,419.2509994506836,416.21419799804687,377.7293005371094,71.92216175362354,427.07641642192925,411.42558247943794,332.98350219726564,333.71400268554686,309.92490127563474,75.35928491274234,344.8270640561235,321.13994033840777,344.33399658203126,341.6741973876953,309.91034942626953,51.628339330657674,348.55811526827637,340.10987789578616
2021-06-15,419.6990005493164,416.5765985107422,378.1100506591797,72.7074648015583,427.64996195092795,411.74803914770484,333.8760025024414,333.938203125,310.180951385498,68.25150339650696,345.68946384988243,322.06254115500036,344.3219970703125,341.83839721679686,310.20219940185547,51.09010387589275,348.55564977180734,340.0883443688176
2021-06-16,420.2074996948242,416.8963983154297,378.4677006530762,59.94755300621535,427.32639756495684,413.0886018246916,334.8155029296875,334.14200317382813,310.4233514404297,63.46908927534431,345.6761353672277,323.95487049214734,344.30449829101565,341.9661975097656,310.4724993896484,40.42720100934153,348.5965406785285,340.01245590350277
2021-06-17,420.76300048828125,417.2039984130859,378.83100067138673,58.81575830097536,426.38780686728603,415.13819410927647,335.9530029296875,334.41640319824216,310.67565139770505,71.76800640635346,346.16859653692563,325.73740932244937,344.2649978637695,342.0517974853516,310.74434936523437,28.581597992732,348.75549371539216,339.77450201214685
2021-06-18,420.7450012207031,417.3319989013672,379.1426007080078,38.09303461119186,426.4454782622824,415.0445241791238,336.6430038452148,334.5674035644531,310.88920135498046,64.36595331249106,346.69576092541854,326.5902467650111,343.83699798583984,342.0083972167969,310.97519927978516,15.803508379189395,350.52376488806243,337.15023108361726
2021-06-21,421.04100036621094,417.51939880371094,379.45840057373044,52.19795519650428,426.04449879541215,416.0375019370097,337.51050262451173,334.7124035644531,311.09720123291015,68.67312573454613,347.0441691675393,327.9768360814842,343.6739974975586,342.02679748535155,311.2130493164062,35.308736282568034,350.69574914380973,336.6522458513075
2021-06-22,421.23799896240234,417.7487982177734,379.8470004272461,54.84996235881895,426.2415802341667,416.234417690638,338.2635025024414,334.93040344238284,311.3980012512207,71.06994875125066,348.48813549267084,328.03886951221193,343.44849853515626,342.06479797363284,311.49359939575197,35.78779547822593,350.71691609134393,336.1800809789686
2021-06-23,421.45599975585935,417.9435986328125,380.2471504211426,56.935927420959324,426.2865318509944,416.6254676607243,339.002001953125,335.073203125,311.71880126953124,79.40982432139815,349.73762738896636,328.2663765172836,343.228498840332,342.10459777832034,311.7786494445801,35.308470109139904,350.79152236092847,335.66547531973555
2021-06-24,421.7574996948242,418.2165985107422,380.70660049438476,54.75647454194546,426.71212474610286,416.8028746435456,339.7900024414063,335.34080322265623,312.1185012817383,76.75030534726181,351.3051953687228,328.2748095140897,343.1639999389648,342.19359802246095,312.11144943237304,38.597885401653784,350.74750823684053,335.5804916410891
2021-06-25,422.1234985351563,418.4313983154297,381.140700378418,58.07157044358694,427.3827454513402,416.86425161897233,340.6190017700195,335.49780334472655,312.4764012145996,74.59827495225065,352.4232315851165,328.8147719549225,343.1565002441406,342.27379821777345,312.4344494628906,46.054605257975695,350.73432356630633,335.5786769219749
2021-06-28,422.4949981689453,418.63559814453123,381.6086003112793,59.218488797920244,428.1679699505303,416.8220263873603,341.6080017089844,335.73180297851565,312.88325119018555,78.03502403144833,354.3312336547497,328.884769763219,343.0144989013672,342.29259826660154,312.76949935913086,43.793824802443964,350.50227349366173,335.5267243090726
2021-06-29,422.89649810791013,418.8853985595703,382.0768003845215,60.90094588100221,428.8569816681847,416.9360145476356,342.7165008544922,336.0540026855469,313.30595108032225,78.87365654302025,356.0637368184423,329.3692648905421,342.86399841308594,342.3347979736328,313.09834930419925,46.42985770914317,350.2301251178833,335.4978717082886
2021-06-30,423.2829986572266,419.2031982421875,382.52480041503907,58.508639462609786,429.53796841887004,417.02802889558313,343.7645004272461,336.41440246582033,313.7023010253906,74.71906801409723,357.3442720360331,330.1847288184591,342.7934997558594,342.47139831542967,313.4204493713379,49.94815296931057,350.0448413400293,335.5421581716895
2021-07-01,423.86599884033205,419.49039794921873,382.9761003112793,60.99929355290235,430.5112433624498,417.2207543182143,344.99300079345704,336.7200024414062,314.07985107421877,74.03533562682549,357.7503448479358,332.23565673897826,342.8104995727539,342.5725982666016,313.74934936523437,52.05295898528288,350.09520730242645,335.5257918430813
2021-07-02,424.42199859619143,419.91939819335937,383.4506002807617,64.02521145301792,432.3568977377432,416.48709945463963,346.14500122070314,337.18880249023437,314.5000012207031,74.763390068373,359.4790274852791,332.81097495612715,342.8125,342.7689984130859,314.0838993835449,55.87856086742237,350.1031119738962,335.5218880261038
2021-07-06,424.95899810791013,420.2431982421875,383.93605026245115,64.0039692133088,433.6732846565728,416.2447115592475,347.32450103759766,337.6042022705078,314.94935119628906,82.2134057947176,361.26318593484257,333.38581614035274,342.7740005493164,342.8767987060547,314.41514938354493,53.74339332862473,349.98835519601334,335.5596459026194
2021-07-07,425.56799774169923,420.5801983642578,384.45510025024413,71.05359266577392,435.1528924241402,415.98310305925827,348.534001159668,337.9906024169922,315.4197512817383,86.46668407975193,362.8069141662525,334.26108815308345,342.8030014038086,343.01779907226563,314.76714950561524,60.05219045532188,350.08208625710625,335.52391655051093
2021-07-08,426.03149871826173,420.84819885253904,384.9748503112793,63.67252404209255,435.714692335811,416.3483051007125,349.63050079345703,338.3630023193359,315.8760511779785,76.6573220196068,363.48410140224314,335.7769001846709,342.7825012207031,343.1087994384766,315.1318495178223,59.22110194920956,350.04030210375987,335.5247003376464
2021-07-09,426.6269989013672,421.2105987548828,385.50095031738283,84.01591595344543,437.1146402021443,416.1393576005901,350.6635009765625,338.80320251464843,316.318701171875,87.17624575940584,364.68344573111665,336.6435562220083,342.9700012207031,343.31599975585937,315.5114495849609,76.52197299106135,350.648407690773,335.29159475063324
2021-07-12,427.26549835205077,421.5509985351562,386.07315017700193,81.31282483925207,438.6736973455765,415.85729935852504,351.72250213623045,339.24720275878906,316.8100012207031,87.00807836476588,365.94359768257283,337.50140658988806,343.2155014038086,343.50519958496096,315.92369964599607,72.31250090789798,351.47530684426584,334.9556959633514
2021-07-13,427.78199768066406,421.9167987060547,386.6336001586914,74.82110016569857,439.7304670512767,415.8335283100514,352.6180023193359,339.7358032226563,317.2951512145996,85.03997223330362,367.178339165739,338.05766547293285,343.4505020141602,343.70639953613284,316.3281996154785,68.67415381677567,352.0985397062275,334.8024643220929
2021-07-14,428.36999664306643,422.27759826660156,387.1711500549316,76.97788315167202,440.7827047978105,415.9572884883224,353.65850219726565,340.2734033203125,317.75270126342775,85.37134938584904,368.0757418198649,339.2412625746664,343.75050201416013,343.8723999023438,316.7167495727539,70.99956593035594,352.79960386446453,334.70140016385574
2021-07-15,429.00199737548826,422.66019836425784,387.6739500427246,69.88055734039838,441.3597010515431,416.64429369943343,354.63400115966795,340.88100280761716,318.16930114746094,74.08229891605698,368.05341732171786,341.21458499761803,344.2095016479492,344.04140014648436,317.0869496154785,67.57945135866305,353.5466140020312,334.8723892938672
2021-07-16,429.47049713134766,422.9719982910156,388.16880004882813,59.0371027722419,441.40905403516547,417.53194022752984,355.2470016479492,341.45240295410156,318.57755111694337,66.57165152388716,367.98142855296305,342.5125747429354,344.61400146484374,344.13059997558594,317.4485494995117,54.899384948876325,353.632529326922,335.5954736027655
2021-07-19,429.9729965209961,423.0899981689453,388.61919998168946,46.05428441519408,440.0307371293949,419.91525591259733,355.8490020751953,341.91560302734376,318.9617012023926,52.06544719183749,367.1271407196108,344.5708634307798,344.96000213623046,344.0179998779297,317.7604495239258,44.891565493160776,352.50685519714744,337.41314907531347
2021-07-20,430.48299713134764,423.26879821777345,389.0892999267578,54.475216810231295,439.58399511506263,421.38199914763265,356.5705032348633,342.40740295410154,319.3444012451172,57.285297879336426,366.5222149511952,346.61879151853134,345.2750015258789,343.9619995117188,318.09514938354494,53.29181663750964,352.23917556612065,338.31082748563716
2021-07-21,431.054997253418,423.6009979248047,389.5928498840332,57.97885751332661,439.62752630316874,422.4824682036672,357.270002746582,343.12340270996094,319.7806512451172,62.60161724602161,366.49837803307594,348.0416274600881,345.7020004272461,343.96699951171877,318.45109939575195,54.40066583849176,352.1935783261836,339.2104225283086
2021-07-22,431.69799652099607,424.0259979248047,390.0713497924805,56.41418988178212,439.4943161031213,423.9016769388708,358.0805038452148,343.89620300292967,320.1996012878418,65.35689732356985,366.60522914501416,349.5557785454155,346.1760009765625,344.0739996337891,318.78484939575196,52.84434584614035,351.8755586090984,340.47644334402656
2021-07-23,432.43999633789065,424.71659790039064,390.5963998413086,57.69803410571639,440.41500011421635,424.46499256156494,358.99600372314455,344.9224029541016,320.66480133056643,65.55987578404861,367.7468774539395,350.24512999234963,346.60550079345705,344.36539978027344,319.1490994262695,53.852921925799286,352.2682154978737,340.9427860890404
2021-07-26,433.1604965209961,425.33139770507813,391.09769973754885,59.941034719914924,441.5125916353034,424.8084014066888,359.9475036621094,345.90540283203126,321.1076512145996,64.08686626349515,368.46791524989726,351.42709207432154,346.95350036621096,344.584599609375,319.4915493774414,58.508364230246485,352.9064765767978,341.00052415562413
2021-07-27,433.7374969482422,425.7799981689453,391.5738497924805,55.52590517065649,442.0285773726392,425.44641652384524,360.4835037231445,346.6662023925781,321.52275115966796,55.31132391847077,368.69489430524965,352.27211314103937,347.34450073242186,344.71179931640626,319.82319931030275,55.68528075883148,353.17480340062224,341.5141980642215
2021-07-28,434.2939956665039,426.2461981201172,392.0337496948242,60.46017776256784,442.37012008188003,426.2178712511278,361.02550354003904,347.4946020507812,321.9233511352539,61.03815176731048,369.1405818385988,352.9104252414793,347.66950073242185,344.8259991455078,320.14034927368164,57.96541732726236,353.1621338611486,342.1768676036951
2021-07-29,434.9234954833984,426.8203979492188,392.47484970092773,57.322308779278345,442.91590717621744,426.9310837905794,361.6280044555664,348.37980224609373,322.28310119628907,58.99967765226412,369.46582901770626,353.7901798934265,347.96300048828124,345.02019958496095,320.4521493530273,53.6834586700716,353.4710820259888,342.4549189505737
2021-07-30,435.32749633789064,427.3733984375,392.9167497253418,52.007898072359566,443.1791571823316,427.47583549344967,362.1280044555664,349.21940246582034,322.6333512878418,53.48008255261049,369.319222099928,354.93678681120474,348.1190017700195,345.2209997558594,320.7658494567871,49.03205362321954,353.612634560963,342.62536897907603
2021-08-02,435.52099609375,427.81959838867186,393.3650497436523,52.85388306813332,443.39656482060815,427.64542736689185,362.42600402832034,349.9348028564453,322.9960513305664,53.525216495293066,369.5016598110037,355.35034824563695,348.139501953125,345.35760009765625,321.08194946289063,48.860061420419456,353.63338224209946,342.6456216641505
2021-08-03,435.93199615478517,428.34379821777344,393.83329971313475,56.469046154341015,444.0910810455814,427.77291126398893,362.7570037841797,350.7308026123047,323.3796012878418,55.75737759136487,370.00939761033067,355.5046099580287,348.4030014038086,345.5385998535156,321.41219940185545,52.7237211622002,353.9338649618,342.87213784581724
2021-08-04,436.15799713134766,428.7399981689453,394.2917497253418,55.475037268125895,444.3954307181607,427.9205635445346,363.07650299072264,351.42740234375,323.7737512207031,61.19503622839921,370.55325692082135,355.59974906062394,348.4565002441406,345.61919982910155,321.7222993469238,47.081696779261584,353.9475212005339,342.9654792877473
2021-08-05,436.6999969482422,429.2103985595703,394.7904997253418,63.71055499472769,444.91274094389956,428.4872529525848,363.62150421142576,352.1614025878906,324.20310134887694,70.20423384213001,371.36096665652207,355.88204176632945,348.76799926757815,345.7677996826172,322.06519927978513,55.893988886141514,353.9853343158221,343.5506642193342
2021-08-06,437.04849700927736,429.6787982177734,395.2860496520996,77.07047816283169,445.63350335612785,428.46349066242686,363.97350311279297,352.83980224609377,324.6213012695313,73.42430184163145,371.8519891284634,356.09501709712254,348.9359985351563,345.94419982910154,322.4108992004395,72.24038697785284,354.36045630819007,343.5115407621225
2021-08-09,437.3009979248047,430.13559814453123,395.78304962158205,70.78488671915288,446.1818665737936,428.4201292758157,364.2890029907227,353.5568023681641,325.0440013122559,69.78499247996074,372.40727747047373,356.1707285109716,348.99199829101565,346.07519958496096,322.75679916381836,63.08751769988367,354.4866798266741,343.4973167553572
2021-08-10,437.6554977416992,430.5883978271484,396.2733996582031,67.15919162355463,446.81058650219745,428.50040898120096,364.51000213623047,354.2150024414062,325.4573013305664,60.891049843950455,372.6546541127075,356.36535015975346,349.17849884033205,346.21699951171877,323.1021992492676,60.841729360571044,354.921902752776,343.4350949278881
2021-08-11,438.0324981689453,431.0705975341797,396.7633996582031,67.42049180956373,447.5557395844256,428.509256753465,364.66700134277346,354.88280212402344,325.8646513366699,55.026628130655006,372.81583198208216,356.51817070346476,349.4549987792969,346.3983996582031,323.4601992797852,64.03356926706672,355.75118066859324,343.15881689000054
2021-08-12,438.5504974365234,431.56619750976563,397.29199951171876,62.469857701854025,448.44187772751627,428.65911714553056,365.0175018310547,355.56400207519533,326.2999513244629,48.28641762550791,373.01695411443353,357.01804954767584,349.719499206543,346.57580017089845,323.8513493347168,60.697866998090205,356.52530761188507,342.9136908012009
